station,region,latitude,longitude,crop_type,crop_stage_sensitivity,t_dry_celsius,rh_pct,delta_t_celsius,wind_speed_kmh,soil_moisture_pct,rain_prob_next_48h,model_readiness_score,model_spray_window_safe,ground_truth_safe,is_correct,rationale
Latur (Soybean Belt),"Maharashtra, India",18.4088,76.5604,Soybean,1.0,24.2,76.0,3.18,12.0,30.33,61.0,0.0,False,False,True,Rain probability 61.0% > 40% (chemical wash-off risk)
Nashik (Grape Orchards),"Maharashtra, India",19.9975,73.7898,Grape,0.85,22.5,91.0,1.14,10.9,42.43,100.0,0.0,False,False,True,"Delta-T 1.1°C < 2.0°C (excess humidity, spray runoff) | Rain probability 100.0% > 40% (chemical wash-off risk)"
Ludhiana (Wheat/Paddy),"Punjab, India",30.901,75.8573,Wheat,0.85,25.9,95.0,0.63,6.9,23.7,73.0,0.0,False,False,True,"Delta-T 0.6°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 23.7% < 30% (xylem tension collapsed, stomata shut) | Rain probability 73.0% > 40% (chemical wash-off risk)"
Bhopal (Malwa Plateau),"Madhya Pradesh, India",23.2599,77.4126,Gram/Chickpea,1.0,22.7,94.0,0.75,16.4,50.4,94.0,0.0,False,False,True,"Wind speed 16.4 km/h > 15 km/h limit (spray drift hazard) | Delta-T 0.8°C < 2.0°C (excess humidity, spray runoff) | Rain probability 94.0% > 40% (chemical wash-off risk)"
Guntur (Chilli Hub),"Andhra Pradesh, India",16.3067,80.4365,Chilli,1.0,28.1,84.0,2.21,6.4,33.57,71.0,0.0,False,False,True,Rain probability 71.0% > 40% (chemical wash-off risk)
Rajkot (Groundnut/Cotton),"Gujarat, India",22.3039,70.8022,Groundnut,0.85,26.3,80.0,2.72,12.5,26.03,18.0,0.0,False,False,True,"Soil moisture 26.0% < 30% (xylem tension collapsed, stomata shut)"
Varanasi (Vegetable Belt),"Uttar Pradesh, India",25.3176,82.9739,Tomato,1.0,26.6,99.0,0.08,8.8,34.07,69.0,0.0,False,False,True,"Delta-T 0.1°C < 2.0°C (excess humidity, spray runoff) | Rain probability 69.0% > 40% (chemical wash-off risk)"
Mandya (Sugarcane Basin),"Karnataka, India",12.5218,76.8951,Sugarcane,0.5,23.2,83.0,2.2,12.7,15.73,22.0,0.0,False,False,True,"Soil moisture 15.7% < 30% (xylem tension collapsed, stomata shut)"
Munnar (Highland Tea),"Kerala, India",10.0889,77.0595,Tea,0.5,16.1,95.0,0.6,6.9,28.97,100.0,0.0,False,False,True,"Delta-T 0.6°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 29.0% < 30% (xylem tension collapsed, stomata shut) | Rain probability 100.0% > 40% (chemical wash-off risk)"
Jaisalmer (Thar Desert),"Rajasthan, India",26.9157,70.9083,Mustard,0.3,28.2,68.0,4.58,9.9,15.47,4.0,0.0,False,False,True,"Soil moisture 15.5% < 30% (xylem tension collapsed, stomata shut)"
Kangra (Valley Orchards),"Himachal Pradesh, India",32.0998,76.2691,Apple,0.85,22.8,89.0,1.4,0.7,31.2,90.0,0.0,False,False,True,"Delta-T 1.4°C < 2.0°C (excess humidity, spray runoff) | Rain probability 90.0% > 40% (chemical wash-off risk)"
Sunderbans (Coastal Delta),"West Bengal, India",21.9497,89.1833,Paddy,0.5,26.8,89.0,1.47,5.3,37.77,100.0,0.0,False,False,True,"Delta-T 1.5°C < 2.0°C (excess humidity, spray runoff) | Rain probability 100.0% > 40% (chemical wash-off risk)"
Salinas Valley (Horticulture),"California, USA",36.6777,-121.6555,Lettuce,0.85,17.3,86.0,1.66,8.4,13.5,4.0,0.0,False,False,True,"Delta-T 1.7°C < 2.0°C (excess humidity, spray runoff) | Soil moisture 13.5% < 30% (xylem tension collapsed, stomata shut)"
Wageningen (Agricultural Hub),"Gelderland, Netherlands",51.9692,5.6654,Barley,0.5,16.4,73.0,3.13,11.5,27.37,31.0,0.0,False,False,True,"Soil moisture 27.4% < 30% (xylem tension collapsed, stomata shut)"
Toowoomba (Grain/Sorghum),"Queensland, Australia",-27.5598,151.9507,Sorghum,0.85,17.2,41.0,7.03,12.7,8.63,0.0,0.0,False,False,True,"Soil moisture 8.6% < 30% (xylem tension collapsed, stomata shut)"
